id,ch0,ch1,ch2,ch3,accel0,accel1,accel2,timestamp
0, 7.51, 32.72, 9.42, 3.72, 0.000, 0.000, 0.000, 12:40:13.020
1, 15.30, -10.50, 5.20, -9.46, 0.000, 0.000, 0.000, 12:40:13.035
2, 5.22, -0.33, 8.53, 17.51, 0.000, 0.000, 0.000, 12:40:13.035
3, -1.61, 45.51, 9.12, 17.73, 0.000, 0.000, 0.000, 12:40:13.049
4, 10.52, 8.50, 6.04, -13.82, 0.000, 0.000, 0.000, 12:40:13.049
5, 8.09, -9.78, 5.28, 7.55, 0.000, 0.000, 0.000, 12:40:13.050
6, 1.48, 36.62, 7.47, 28.65, 0.000, 0.000, 0.000, 12:40:13.050
7, 6.62, 22.95, 6.46, -12.58, 0.000, 0.000, 0.000, 12:40:13.064
8, 7.85, -14.20, 4.70, -11.45, 0.000, 0.000, 0.000, 12:40:13.065
9, 1.27, 24.70, 10.67, 21.48, 0.000, 0.000, 0.000, 12:40:13.079
10, 2.59, 37.17, 8.84, 5.63, 0.000, 0.000, 0.000, 12:40:13.079
11, 13.33, -9.47, 7.19, -17.10, 0.000, 0.000, 0.000, 12:40:13.081
12, 2.64, 4.95, 6.77, 12.64, 0.000, 0.000, 0.000, 12:40:13.081
13, -0.23, 43.45, 8.01, 14.52, 0.000, 0.000, 0.000, 12:40:13.095
14, 8.08, 6.96, 8.06, -14.93, 0.000, 0.000, 0.000, 12:40:13.095
15, 8.48, -5.18, 8.40, 6.13, 0.000, 0.000, 0.000, 12:40:13.109
16, -1.33, 40.88, 10.63, 21.52, 0.000, 0.000, 0.000, 12:40:13.109
17, 14.74, 23.43, 9.71, -5.12, 0.000, 0.000, 0.000, 12:40:13.110
18, 14.34, -11.04, 3.85, -6.50, 0.000, 0.000, 0.000, 12:40:13.110
19, 5.22, 26.84, 10.06, 24.73, 0.000, 0.000, 0.000, 12:40:13.125
20, 2.03, 37.64, 7.45, 5.86, 0.000, 0.000, 0.000, 12:40:13.125
21, 14.91, -3.27, 8.29, -9.59, 0.000, 0.000, 0.000, 12:40:13.139
22, 4.03, 7.31, 12.50, 18.74, 0.000, 0.000, 0.000, 12:40:13.139
23, 2.54, 49.16, 7.05, 16.07, 0.000, 0.000, 0.000, 12:40:13.141
24, 13.52, 8.24, 6.44, -12.59, 0.000, 0.000, 0.000, 12:40:13.141
25, 9.57, -6.55, 7.62, 3.41, 0.000, 0.000, 0.000, 12:40:13.155
26, 0.99, 34.92, 8.01, 26.88, 0.000, 0.000, 0.000, 12:40:13.155
27, 10.84, 24.04, 8.72, -4.69, 0.000, 0.000, 0.000, 12:40:13.184
28, 11.58, -15.29, 7.22, -3.91, 0.000, 0.000, 0.000, 12:40:13.184
29, 1.14, 20.83, 7.84, 26.00, 0.000, 0.000, 0.000, 12:40:13.185
30, 5.80, 39.23, 9.19, 4.79, 0.000, 0.000, 0.000, 12:40:13.185
31, 15.94, -9.74, 4.42, -13.99, 0.000, 0.000, 0.000, 12:40:13.186
32, 6.02, 2.01, 6.65, 18.51, 0.000, 0.000, 0.000, 12:40:13.186
33, -1.80, 38.61, 11.11, 19.67, 0.000, 0.000, 0.000, 12:40:13.199
34, 12.51, 2.05, 9.01, -15.56, 0.000, 0.000, 0.000, 12:40:13.199
35, 8.93, -12.23, 9.30, 9.13, 0.000, 0.000, 0.000, 12:40:13.201
36, 1.39, 33.61, 13.82, 28.94, 0.000, 0.000, 0.000, 12:40:13.201
37, 12.20, 21.27, 8.72, -2.92, 0.000, 0.000, 0.000, 12:40:13.215
38, 15.75, -15.23, 4.53, -7.16, 0.000, 0.000, 0.000, 12:40:13.215
39, 2.33, 21.64, 14.37, 26.10, 0.000, 0.000, 0.000, 12:40:13.229
40, 8.16, 35.80, 11.77, 9.10, 0.000, 0.000, 0.000, 12:40:13.229
41, 13.36, -14.02, 9.90, -13.86, 0.000, 0.000, 0.000, 12:40:13.230
42, 6.35, 4.18, 8.15, 16.56, 0.000, 0.000, 0.000, 12:40:13.230
43, 1.47, 38.03, 12.60, 17.40, 0.000, 0.000, 0.000, 12:40:13.245
44, 13.10, 0.87, 10.18, -14.95, 0.000, 0.000, 0.000, 12:40:13.245
45, 10.26, -10.94, 8.67, 6.03, 0.000, 0.000, 0.000, 12:40:13.259
46, -0.67, 36.37, 12.04, 26.10, 0.000, 0.000, 0.000, 12:40:13.259
47, 7.51, 15.86, 7.26, -6.53, 0.000, 0.000, 0.000, 12:40:13.260
48, 14.65, -19.41, 9.47, -2.69, 0.000, 0.000, 0.000, 12:40:13.261
49, 3.02, 16.97, 12.44, 24.22, 0.000, 0.000, 0.000, 12:40:13.275
50, 4.30, 28.58, 6.53, 2.45, 0.000, 0.000, 0.000, 12:40:13.275
51, 17.16, -12.42, 4.67, -7.22, 0.000, 0.000, 0.000, 12:40:13.289
52, 5.42, 0.42, 8.24, 16.65, 0.000, 0.000, 0.000, 12:40:13.289
53, 6.06, 36.94, 8.59, 18.02, 0.000, 0.000, 0.000, 12:40:13.304
54, 15.15, 3.53, 8.48, -15.81, 0.000, 0.000, 0.000, 12:40:13.304
55, 9.88, -12.03, 4.74, 5.54, 0.000, 0.000, 0.000, 12:40:13.306
56, 3.09, 37.29, 12.35, 23.73, 0.000, 0.000, 0.000, 12:40:13.306
57, 12.79, 20.35, 11.40, -5.84, 0.000, 0.000, 0.000, 12:40:13.319
58, 14.76, -17.01, 8.13, -4.87, 0.000, 0.000, 0.000, 12:40:13.319
59, -3.11, 19.06, 6.87, 24.45, 0.000, 0.000, 0.000, 12:40:13.321
60, 3.50, 35.18, 9.48, 8.41, 0.000, 0.000, 0.000, 12:40:13.321
61, 12.85, -12.27, 4.29, -10.38, 0.000, 0.000, 0.000, 12:40:13.336
62, 4.51, 1.74, 4.47, 21.39, 0.000, 0.000, 0.000, 12:40:13.336
63, 0.92, 41.93, 8.81, 19.17, 0.000, 0.000, 0.000, 12:40:13.349
64, 11.70, 3.95, 6.89, -12.15, 0.000, 0.000, 0.000, 12:40:13.349
65, 9.39, -10.46, 7.39, 6.07, 0.000, 0.000, 0.000, 12:40:13.350
66, 5.52, 32.51, 9.70, 22.64, 0.000, 0.000, 0.000, 12:40:13.351
67, 11.26, 18.68, 15.47, -3.75, 0.000, 0.000, 0.000, 12:40:13.365
68, 7.78, -20.63, 3.56, -3.85, 0.000, 0.000, 0.000, 12:40:13.365
69, 3.51, 20.23, 14.86, 24.25, 0.000, 0.000, 0.000, 12:40:13.379
70, 7.86, 33.39, 6.54, 5.94, 0.000, 0.000, 0.000, 12:40:13.379
71, 13.34, -10.05, 4.42, -9.56, 0.000, 0.000, 0.000, 12:40:13.380
72, 6.32, 5.60, 6.58, 20.69, 0.000, 0.000, 0.000, 12:40:13.381
73, 2.12, 43.78, 10.77, 17.09, 0.000, 0.000, 0.000, 12:40:13.395
74, 12.39, 1.39, 6.27, -13.36, 0.000, 0.000, 0.000, 12:40:13.395
75, 9.13, -10.48, 6.49, 9.57, 0.000, 0.000, 0.000, 12:40:13.409
76, 2.18, 34.95, 11.61, 20.96, 0.000, 0.000, 0.000, 12:40:13.409
77, 11.59, 20.68, 5.87, -9.47, 0.000, 0.000, 0.000, 12:40:13.410
78, 11.52, -13.93, 3.97, -2.88, 0.000, 0.000, 0.000, 12:40:13.410
79, 4.13, 20.31, 7.85, 27.61, 0.000, 0.000, 0.000, 12:40:13.425
80, 4.98, 31.84, 4.17, 0.71, 0.000, 0.000, 0.000, 12:40:13.425
81, 14.49, -15.89, 6.32, -14.00, 0.000, 0.000, 0.000, 12:40:13.439
82, 4.43, 1.66, 12.25, 19.60, 0.000, 0.000, 0.000, 12:40:13.439
83, 3.64, 43.55, 11.89, 19.44, 0.000, 0.000, 0.000, 12:40:13.441
84, 12.38, -0.06, 5.96, -9.43, 0.000, 0.000, 0.000, 12:40:13.441
85, 10.22, -13.40, 10.39, 4.90, 0.000, 0.000, 0.000, 12:40:13.455
86, 1.95, 29.14, 12.75, 24.94, 0.000, 0.000, 0.000, 12:40:13.456
87, 9.14, 17.27, 3.88, -5.84, 0.000, 0.000, 0.000, 12:40:13.469
88, 12.11, -16.59, 7.35, -0.86, 0.000, 0.000, 0.000, 12:40:13.469
89, 2.57, 16.71, 7.44, 25.25, 0.000, 0.000, 0.000, 12:40:13.470
90, 4.46, 31.79, 5.56, 6.91, 0.000, 0.000, 0.000, 12:40:13.471
91, 13.12, -11.55, 7.66, -13.41, 0.000, 0.000, 0.000, 12:40:13.485
92, 4.73, -2.43, 10.40, 14.46, 0.000, 0.000, 0.000, 12:40:13.485
93, 4.24, 42.75, 8.46, 19.87, 0.000, 0.000, 0.000, 12:40:13.499
94, 12.20, 2.34, 6.69, -8.69, 0.000, 0.000, 0.000, 12:40:13.499
95, 7.81, -12.89, 6.45, 4.68, 0.000, 0.000, 0.000, 12:40:13.501
