keyPressed,wordSaid,timeStamp
SENTINEL,NONE,796
SENTINEL,NONE,960
SENTINEL,NONE,1104
SENTINEL,NONE,1258
SENTINEL,NONE,1395
None,no,1400
None,no,1500
None,no,1600
None,no,1700
None,no,1800
None,no,1900
None,yes,2000
None,yes,2100
None,yes,2200
None,yes,2300
None,yes,2400
None,yes,2500
None,yes,2600
None,yes,2700
None,yes,2800
None,yes,2900
None,no,3000
None,no,3100
None,no,3200
None,no,3300
None,no,3400
None,no,3500
None,no,3600
None,no,3700
None,no,3800
None,no,3900
None,yes,4000
None,yes,4100
None,yes,4200
None,yes,4300
None,yes,4400
None,yes,4500
None,yes,4600
None,yes,4700
None,yes,4800
None,yes,4900
None,no,5000
None,no,5100
None,no,5200
None,no,5300
None,no,5400
None,no,5500
None,no,5600
None,no,5700
None,no,5800
None,no,5900
None,yes,6000
None,yes,6100
None,yes,6200
None,yes,6300
None,yes,6400
None,yes,6500
None,yes,6600
None,yes,6700
None,yes,6800
None,yes,6900
None,no,7000
None,no,7100
None,no,7200
None,no,7300
None,no,7400
None,no,7500
None,no,7600
None,no,7700
None,no,7800
None,no,7900
None,no,8000
None,yes,8100
None,yes,8200
None,yes,8300
None,yes,8400
None,yes,8500
None,yes,8600
None,yes,8700
None,yes,8800
None,yes,8900
None,yes,9000
None,no,9100
None,no,9200
None,no,9300
None,no,9400
None,no,9500
None,no,9600
None,no,9700
None,no,9800
None,no,9900
None,no,10000
None,yes,10100
None,yes,10200
None,yes,10300
None,yes,10400
None,yes,10500
None,yes,10600
None,yes,10700
None,yes,10800
None,yes,10900
None,yes,11000
None,no,11100
None,no,11200
None,no,11300
None,no,11400
None,no,11500
None,no,11600
None,no,11700
None,no,11800
None,no,11900
None,no,12000
None,no,12100
None,yes,12200
None,yes,12300
None,yes,12400
None,yes,12500
None,yes,12600
None,yes,12700
None,yes,12800
None,yes,12900
None,yes,13000
None,yes,13100
None,no,13200
None,no,13300
None,no,13400
None,no,13500
None,no,13600
None,no,13700
None,no,13800
None,no,13900
None,no,14000
None,no,14100
None,yes,14200
None,yes,14300
None,yes,14400
None,yes,14500
None,yes,14600
None,yes,14700
None,yes,14800
None,yes,14900
None,yes,15000
None,yes,15100
None,no,15200
None,no,15300
None,no,15400
None,no,15500
None,no,15600
None,no,15700
None,no,15800
None,no,15900
None,no,16000
None,no,16100
None,yes,16200
None,yes,16300
None,yes,16400
None,yes,16500
None,yes,16600
None,yes,16700
None,yes,16800
None,yes,16900
None,yes,17000
None,yes,17100
None,yes,17200
None,no,17300
None,no,17400
None,no,17500
None,no,17600
None,no,17700
None,no,17800
None,no,17900
None,no,18000
None,no,18100
None,no,18200
None,yes,18300
None,yes,18400
None,yes,18500
None,yes,18600
None,yes,18700
None,yes,18800
None,yes,18900
None,yes,19000
None,yes,19100
None,yes,19200
None,no,19300
None,no,19400
None,no,19500
None,no,19600
None,no,19700
None,no,19800
None,no,19900
None,no,20000
None,no,20100
None,no,20200
None,yes,20300
None,yes,20400
None,yes,20500
None,yes,20600
None,yes,20700
None,yes,20800
None,yes,20900
None,yes,21000
None,yes,21100
None,yes,21200
None,yes,21300
None,no,21400
None,no,21500
None,no,21600
None,no,21700
None,no,21800
None,no,21900
None,no,22000
None,no,22100
None,no,22200
None,no,22300
None,yes,22400
None,yes,22500
None,yes,22600
None,yes,22700
None,yes,22800
None,yes,22900
None,yes,23000
None,yes,23100
None,yes,23200
None,yes,23300
None,no,23400
None,no,23500
None,no,23600
None,no,23700
None,no,23800
None,no,23900
None,no,24000
None,no,24100
None,no,24200
None,no,24300
None,yes,24400
None,yes,24500
None,yes,24600
None,yes,24700
None,yes,24800
None,yes,24900
None,yes,25000
None,yes,25100
None,yes,25200
None,yes,25300
None,no,25400
None,no,25500
